from,coord,to,coord,distance_in_miles
Minnie's House,"(33.81558355, -117.91901094992576)",Alice in Wonderland,"(33.8131608, -117.918366)",0.1710531777872236
Minnie's House,"(33.81558355, -117.91901094992576)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.18638454964679652
Minnie's House,"(33.81558355, -117.91901094992576)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.15163650293309647
Minnie's House,"(33.81558355, -117.91901094992576)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.15124358895844306
Minnie's House,"(33.81558355, -117.91901094992576)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.18844546467455128
Minnie's House,"(33.81558355, -117.91901094992576)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.23298085159997706
Minnie's House,"(33.81558355, -117.91901094992576)",Disneyland Monorail,"(33.812807, -117.9166715)",0.23395433052136105
Minnie's House,"(33.81558355, -117.91901094992576)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.2171136057959902
Minnie's House,"(33.81558355, -117.91901094992576)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.7314257952526
Minnie's House,"(33.81558355, -117.91901094992576)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.13848752150000823
Minnie's House,"(33.81558355, -117.91901094992576)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.24675178745738605
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.2751582656879944
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.34737912415261885
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",The Disney Gallery,"(33.8101946, -117.9184302)",0.3540866026636271
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.1803095023615
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.26879560277749465
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.021400677021
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.38809438642239663
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.31483805701229084
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.9486605242055
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.3728338461806474
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.30623546593348433
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.15546188493
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.903271310398
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.22803854139194718
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.26225212248396373
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.23178618378261256
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.315282307308294
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.048468537187790234
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.06389247257009698
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.08771646051466318
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Minnie's House,"(33.81558355, -117.91901094992576)",0.06287102506358035
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.09773580539568681
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",It's a Small World,"(33.8153316, -117.91738182498915)",0.03359971972727663
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.14494357246711348
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Pixie Hollow,"(33.812503, -117.9182845)",0.19484274055430972
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.16694671732983693
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.111110436700342
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.13203978971470368
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Alice in Wonderland,"(33.8131608, -117.918366)",0.15041446410450887
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.155830450324407
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.1450129754700928
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.12815639155949637
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.18245869647587135
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.20225514911321366
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Disneyland Monorail,"(33.812807, -117.9166715)",0.1883629439727564
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.17730513369638265
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.671312988381
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.19639415739388655
Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.2996946078893838
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.18119924968613582
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.2943272437168856
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",The Disney Gallery,"(33.8101946, -117.9184302)",0.2996000805990088
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.2591388535348
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.19461668057544348
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.100229954928
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.30383299587104
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.23062982913731098
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2174.027488640689
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.2765907812032508
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.2088153532745025
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.2342965661987
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.982102084402
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.13734113861120628
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.1710094616402809
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.1511298508623042
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.21939293396884454
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.05543433402442724
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.050975375163791393
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.052179058581442395
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Minnie's House,"(33.81558355, -117.91901094992576)",0.07856574372466212
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.09773580539568681
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",It's a Small World,"(33.8153316, -117.91738182498915)",0.12679867574277703
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.08767169470441041
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Pixie Hollow,"(33.812503, -117.9182845)",0.14874263126535076
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.09647883636202371
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.07970171545501256
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.05220699094200225
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Alice in Wonderland,"(33.8131608, -117.918366)",0.10633754158949729
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.12964677970230973
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.07826301791963007
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.09182894755429691
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.11267985606198994
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.17241337165616907
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Disneyland Monorail,"(33.812807, -117.9166715)",0.19149587190191458
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.168071363884206
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.7500460406486
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.1281506432336628
Fantasyland Theatre,"(33.81447575, -117.9193328753469)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.2142592726277026
It's a Small World,"(33.8153316, -117.91738182498915)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.29883393426215565
It's a Small World,"(33.8153316, -117.91738182498915)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.352017128230155
It's a Small World,"(33.8153316, -117.91738182498915)",The Disney Gallery,"(33.8101946, -117.9184302)",0.35915228568807567
It's a Small World,"(33.8153316, -117.91738182498915)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.146721205645
It's a Small World,"(33.8153316, -117.91738182498915)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.2830910223006858
It's a Small World,"(33.8153316, -117.91738182498915)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2173.987812381417
It's a Small World,"(33.8153316, -117.91738182498915)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.40529943194255613
It's a Small World,"(33.8153316, -117.91738182498915)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.33272966523897884
It's a Small World,"(33.8153316, -117.91738182498915)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.9150722462196
It's a Small World,"(33.8153316, -117.91738182498915)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.3979290865338292
It's a Small World,"(33.8153316, -117.91738182498915)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.33317198245005286
It's a Small World,"(33.8153316, -117.91738182498915)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.1218735075304
It's a Small World,"(33.8153316, -117.91738182498915)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.8696829921178
It's a Small World,"(33.8153316, -117.91738182498915)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.250355380371671
It's a Small World,"(33.8153316, -117.91738182498915)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.2843825661238605
It's a Small World,"(33.8153316, -117.91738182498915)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.24954414421205812
It's a Small World,"(33.8153316, -117.91738182498915)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.34024323036764487
It's a Small World,"(33.8153316, -117.91738182498915)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.08152054188073768
It's a Small World,"(33.8153316, -117.91738182498915)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.09733572276317766
It's a Small World,"(33.8153316, -117.91738182498915)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.12129040233176737
It's a Small World,"(33.8153316, -117.91738182498915)",Minnie's House,"(33.81558355, -117.91901094992576)",0.09531717857900737
It's a Small World,"(33.8153316, -117.91738182498915)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.03359971972727663
It's a Small World,"(33.8153316, -117.91738182498915)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.12679867574277703
It's a Small World,"(33.8153316, -117.91738182498915)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.1591341966282502
It's a Small World,"(33.8153316, -117.91738182498915)",Pixie Hollow,"(33.812503, -117.9182845)",0.20175056115519763
It's a Small World,"(33.8153316, -117.91738182498915)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.18356515245069685
It's a Small World,"(33.8153316, -117.91738182498915)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.12204077148962156
It's a Small World,"(33.8153316, -117.91738182498915)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.15391987501643836
It's a Small World,"(33.8153316, -117.91738182498915)",Alice in Wonderland,"(33.8131608, -117.918366)",0.15997064607560238
It's a Small World,"(33.8153316, -117.91738182498915)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.15897551451761396
It's a Small World,"(33.8153316, -117.91738182498915)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.16204313147633687
It's a Small World,"(33.8153316, -117.91738182498915)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.1378590053673158
It's a Small World,"(33.8153316, -117.91738182498915)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.1979946976581473
It's a Small World,"(33.8153316, -117.91738182498915)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.20321699791160033
It's a Small World,"(33.8153316, -117.91738182498915)",Disneyland Monorail,"(33.812807, -117.9166715)",0.17873449769670874
It's a Small World,"(33.8153316, -117.91738182498915)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.1727718230487624
It's a Small World,"(33.8153316, -117.91738182498915)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.6377261967336
It's a Small World,"(33.8153316, -117.91738182498915)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.2299931384574295
It's a Small World,"(33.8153316, -117.91738182498915)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.3327770093177772
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.15312501540356746
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.20958812946461697
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",The Disney Gallery,"(33.8101946, -117.9184302)",0.2154355619724118
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.2241388397347
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.12425035610895159
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.065229839405
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.24636910229091655
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.1743571940496279
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.9924869094875
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.25333727939334877
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.1995000579885797
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.199303968444
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.947104050493
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.10331947374227532
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.13444776101775666
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.09183777303421685
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.19720492494346564
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.1256795091423056
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.1303582423574418
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.13887868493925198
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Minnie's House,"(33.81558355, -117.91901094992576)",0.15751845924924768
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.14494357246711348
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.08767169470441041
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",It's a Small World,"(33.8153316, -117.91738182498915)",0.1591341966282502
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Pixie Hollow,"(33.812503, -117.9182845)",0.06107251605918641
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.026821745527819123
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.03832407781055244
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.041089422226653224
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Alice in Wonderland,"(33.8131608, -117.918366)",0.022861218207734825
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.0529471223703966
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.014643008716194759
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.027914586103227355
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.03908209432588029
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.0873775909812301
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Disneyland Monorail,"(33.812807, -117.9166715)",0.12288085966679793
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.09479516183766912
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.7149122500537
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.20142131902543975
Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.26032932126889874
Peter Pan's Flight,"(31.1454199, 121.65360558575782)",Chip 'n Dale's Treehouse,"(35.6303688, 139.8787529385706)",1096.16731152107
Peter Pan's Flight,"(31.1454199, 121.65360558575782)",Mickey's House and Meet Mickey,"(35.63024945, 139.8785997425935)",1096.157258678879
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Disneyland Railroad,"(48.872951, 2.7809789)",0.2716976016267749
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Main Street Vehicles,"(48.8711858, 2.7782974)",0.21760278217149956
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.723262567055
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4531.797642162604
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4531.8676422709395
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Disneyland Railroad,"(48.872951, 2.7809789)",0.2716976016267749
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.564600866464
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Splash Mountain,"(28.4192429, -81.58504252640626)",4531.803510082227
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.04053631220833465
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.15067366357794884
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Autopia,"(48.8732257, 2.7789328)",0.17676304292319778
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.23167028251462948
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Space Mountain,"(48.87407195, 2.779286235777686)",0.19563228287830572
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Disneyland Railroad,"(48.872951, 2.7809789)",0.2716976016267749
Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.6655153632955
Pixie Hollow,"(33.812503, -117.9182845)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.16176558083498066
Pixie Hollow,"(33.812503, -117.9182845)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.15277203484888752
Pixie Hollow,"(33.812503, -117.9182845)",The Disney Gallery,"(33.8101946, -117.9184302)",0.15931988998404337
Pixie Hollow,"(33.812503, -117.9182845)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.1992357558183
Pixie Hollow,"(33.812503, -117.9182845)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.09485431199436951
Pixie Hollow,"(33.812503, -117.9182845)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.0403266850594
Pixie Hollow,"(33.812503, -117.9182845)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.2190729676516532
Pixie Hollow,"(33.812503, -117.9182845)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.15421780535008492
Pixie Hollow,"(33.812503, -117.9182845)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.9675826343296
Pixie Hollow,"(33.812503, -117.9182845)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.25488890677493553
Pixie Hollow,"(33.812503, -117.9182845)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.21554955236478324
Pixie Hollow,"(33.812503, -117.9182845)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.174406029433
Pixie Hollow,"(33.812503, -117.9182845)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.922202340373
Pixie Hollow,"(33.812503, -117.9182845)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.11905341214710724
Pixie Hollow,"(33.812503, -117.9182845)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.1397602785954579
Pixie Hollow,"(33.812503, -117.9182845)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.08705593472856595
Pixie Hollow,"(33.812503, -117.9182845)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.20435357018718517
Pixie Hollow,"(33.812503, -117.9182845)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.18354049088574448
Pixie Hollow,"(33.812503, -117.9182845)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.18990973826173688
