from,coord,to,coord,distance_in_miles
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.182311598766741
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.1501263996959494
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Disneyland Monorail,"(33.812807, -117.9166715)",0.19839411963142947
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.187630831127643
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.6932012128173
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.3819771837839749
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.3921157208021855
The Disney Gallery,"(33.8101946, -117.9184302)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.21023778028511375
The Disney Gallery,"(33.8101946, -117.9184302)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.008285260696276598
The Disney Gallery,"(33.8101946, -117.9184302)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.208106955366
The Disney Gallery,"(33.8101946, -117.9184302)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.12098214384602231
The Disney Gallery,"(33.8101946, -117.9184302)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.049197684337
The Disney Gallery,"(33.8101946, -117.9184302)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.14982501505460563
The Disney Gallery,"(33.8101946, -117.9184302)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.1422421793821276
The Disney Gallery,"(33.8101946, -117.9184302)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.9764504366663
The Disney Gallery,"(33.8101946, -117.9184302)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.2530442283785972
The Disney Gallery,"(33.8101946, -117.9184302)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.258928341845313
The Disney Gallery,"(33.8101946, -117.9184302)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.183291905024
The Disney Gallery,"(33.8101946, -117.9184302)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.9310774598757
The Disney Gallery,"(33.8101946, -117.9184302)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.2030938638557004
